id;name;property_type;state
1;Front-line proactive grey;Brazil;false
2;compress Accountability initiatives;calculating Concrete;false
3;Pa'anga auxiliary Dalasi;Checking Account content Aruba;false
4;Delaware navigating ubiquitous;Cambridgeshire violet Lead;false
5;Seamless Markets technologies;Refined override analyzing;false
6;Colorado;functionalities;false
7;Associate Fantastic Frozen Chair deposit;Jewelery;false
8;Mobility;matrix Buckinghamshire SDD;false
9;Concrete;Won;false
10;Fall connecting reboot;Soft;true
