id;name;latitude;longitude;state;creation_date
1;International connect Home Loan Account;67667;9648;true;2020-11-02T22:04:31
2;connect Refined Soft Chair azure;36518;94774;true;2020-11-02T20:05:18
3;Cotton;35624;54764;true;2020-11-02T15:23:23
4;Metal Georgia;54354;74707;false;2020-11-02T15:14:48
5;compressing cyan withdrawal;20686;72363;true;2020-11-02T19:24:46
6;incentivize copy;44610;41558;true;2020-11-03T02:49:44
7;Money Market Account navigating;82488;53896;true;2020-11-03T01:54:55
8;Minnesota National;69390;44057;false;2020-11-02T07:39:23
9;port Fresh;9096;43575;false;2020-11-03T03:55:42
10;Pants;82192;3923;true;2020-11-02T05:16:49
