id;name;price;cant_property_sale;cant_property_rent;cant_days;professional;creation_date;type;state
1;Cambridgeshire object-oriented Movies;23094;59990;5289;53368;false;2020-11-02T10:51:58;82723;false
2;Mobility;72758;93542;94653;8426;false;2020-11-02T23:48:53;87119;false
3;Fresh Rustic Plastic Ball;64780;13461;29653;87085;true;2020-11-02T17:12:09;83394;false
4;online Regional;74791;52420;50316;88902;false;2020-11-02T10:08:00;61608;true
5;withdrawal;43272;4885;18915;20747;true;2020-11-02T11:46:20;65069;false
6;Licensed Bacon;15162;29245;66058;73000;false;2020-11-02T16:27:17;48587;false
7;Total Massachusetts;98887;69758;27138;85830;true;2020-11-02T20:02:00;62908;false
8;hacking Avon;49549;96408;66920;20211;false;2020-11-03T02:27:01;34271;true
9;Shoes Automotive;39113;20026;11334;69697;true;2020-11-02T23:47:40;83791;true
10;Namibia;8202;55620;87513;57185;true;2020-11-02T14:28:25;49203;true
