id;rating;commentary;creation_date;state
1;80522;Ergonomic Concrete Mouse Music;2020-11-02T23:56:22;true
2;28271;even-keeled Soft;2020-11-02T05:47:49;false
3;47200;Extended executive;2020-11-02T16:27:35;false
4;82352;Ergonomic Metal Computer deposit;2020-11-02T19:30:56;false
5;52035;Afghanistan;2020-11-03T03:06:58;true
6;76984;navigate Outdoors Garden;2020-11-02T09:22:05;false
7;58893;Concrete;2020-11-02T20:51:54;true
8;748;Cotton Intranet;2020-11-02T21:46:09;false
9;83183;Refined Focused;2020-11-02T18:38:46;false
10;79878;User-centric Granite Auto Loan Account;2020-11-02T15:24:12;true
